,CountVectorizer,HashingVectorizer,TfidfVectorizer
CalibratedClassifierCV,83% (1 ms / 0 ms),82% (1 ms / 0 ms),86% (0 ms / 0 ms)
LinearDiscriminantAnalysis,53% (6 ms / 0 ms),52% (482 ms / 0 ms),56% (6 ms / 0 ms)
DummyClassifier,16% (0 ms / 0 ms),16% (0 ms / 0 ms),16% (0 ms / 0 ms)
AdaBoostClassifier,47% (2 ms / 0 ms),30% (78 ms / 0 ms),47% (3 ms / 0 ms)
BaggingClassifier,61% (6 ms / 0 ms),58% (51 ms / 0 ms),56% (6 ms / 0 ms)
ExtraTreesClassifier,78% (5 ms / 0 ms),77% (92 ms / 0 ms),78% (5 ms / 0 ms)
GradientBoostingClassifier,74% (94 ms / 0 ms),74% (1140 ms / 0 ms),73% (113 ms / 0 ms)
RandomForestClassifier,74% (4 ms / 0 ms),74% (60 ms / 0 ms),74% (3 ms / 0 ms)
GaussianProcessClassifier,18% (80 ms / 78 ms),,76% (76 ms / 76 ms)
LogisticRegression,80% (4 ms / 0 ms),75% (59 ms / 0 ms),84% (1 ms / 0 ms)
LogisticRegressionCV,81% (107 ms / 0 ms),82% (3122 ms / 0 ms),86% (62 ms / 0 ms)
PassiveAggressiveClassifier,82% (0 ms / 0 ms),83% (0 ms / 0 ms),87% (0 ms / 0 ms)
Perceptron,79% (0 ms / 0 ms),79% (0 ms / 0 ms),83% (0 ms / 0 ms)
RidgeClassifier,82% (1 ms / 0 ms),82% (2 ms / 0 ms),86% (0 ms / 0 ms)
RidgeClassifierCV,82% (0 ms / 0 ms),84% (1 ms / 0 ms),86% (0 ms / 0 ms)
SGDClassifier,79% (0 ms / 0 ms),83% (0 ms / 0 ms),86% (0 ms / 0 ms)
BernoulliNB,48% (0 ms / 0 ms),16% (0 ms / 0 ms),48% (0 ms / 0 ms)
CategoricalNB,,,16% (7 ms / 1 ms)
ComplementNB,85% (0 ms / 0 ms),,82% (0 ms / 0 ms)
GaussianNB,81% (1 ms / 1 ms),,80% (1 ms / 1 ms)
MultinomialNB,79% (0 ms / 0 ms),,75% (0 ms / 0 ms)
KNeighborsClassifier,34% (0 ms / 0 ms),51% (0 ms / 1 ms),78% (0 ms / 1 ms)
NearestCentroid,57% (0 ms / 0 ms),68% (0 ms / 0 ms),83% (0 ms / 0 ms)
MLPClassifier,87% (12 ms / 0 ms),85% (2491 ms / 0 ms),86% (47 ms / 0 ms)
LinearSVC,83% (0 ms / 0 ms),82% (0 ms / 0 ms),86% (0 ms / 0 ms)
NuSVC,73% (1 ms / 1 ms),77% (1 ms / 1 ms),83% (1 ms / 1 ms)
SVC,69% (1 ms / 1 ms),74% (1 ms / 1 ms),81% (1 ms / 1 ms)
DecisionTreeClassifier,52% (1 ms / 0 ms),48% (5 ms / 0 ms),48% (1 ms / 0 ms)
ExtraTreeClassifier,42% (0 ms / 0 ms),40% (1 ms / 0 ms),44% (0 ms / 0 ms)
